t_start_s,order0_dBFS,order1_dBFS,order2_dBFS,order3_dBFS,order4_dBFS,order5_dBFS
211.0,-33.019,-37.284,-45.690,-49.644,-53.372,-56.647
212.0,-32.468,-37.410,-45.727,-49.716,-53.724,-56.917
213.0,-28.860,-33.625,-40.976,-44.414,-48.002,-50.526
214.0,-31.773,-35.846,-44.479,-48.436,-52.056,-54.910
215.0,-28.923,-31.902,-40.566,-43.979,-47.020,-49.756
216.0,-29.986,-33.826,-42.172,-45.426,-49.238,-51.948
217.0,-27.931,-30.316,-40.872,-44.769,-48.308,-50.881
218.0,-25.372,-29.428,-36.296,-40.650,-44.597,-47.750
219.0,-25.850,-30.271,-37.932,-41.913,-45.349,-48.224
220.0,-22.162,-26.463,-33.511,-37.214,-40.864,-43.782
221.0,-24.106,-28.782,-35.262,-38.965,-42.275,-44.872
222.0,-24.794,-29.308,-36.941,-41.762,-45.438,-48.687
223.0,-21.292,-25.743,-33.201,-37.334,-40.812,-43.993
224.0,-20.664,-26.127,-32.993,-36.890,-40.869,-43.962
225.0,-21.683,-26.998,-34.151,-39.049,-42.324,-44.928
226.0,-21.636,-25.742,-33.373,-37.433,-40.979,-43.911
227.0,-20.276,-25.350,-32.300,-36.099,-39.198,-41.484
228.0,-20.800,-25.390,-32.523,-36.113,-40.029,-42.441
229.0,-20.220,-24.809,-31.805,-35.698,-39.063,-42.005
230.0,-18.103,-23.095,-30.641,-34.512,-37.983,-40.901
231.0,-19.982,-24.711,-32.977,-36.928,-40.832,-43.984
232.0,-20.311,-25.303,-33.369,-37.293,-40.606,-42.936
233.0,-20.529,-25.200,-34.646,-38.014,-40.789,-43.506
234.0,-19.509,-24.513,-32.691,-35.556,-38.542,-41.458
235.0,-26.227,-31.808,-39.939,-43.414,-47.303,-49.834
236.0,-58.140,-61.133,-68.572,-74.612,-76.714,-79.462
237.0,-49.831,-55.061,-63.835,-69.414,-69.815,-72.184
238.0,-46.609,-52.062,-62.306,-66.351,-68.181,-71.220
239.0,-39.913,-44.828,-54.597,-59.435,-63.691,-66.784
240.0,-41.168,-46.570,-56.365,-61.371,-66.270,-70.224
241.0,-39.007,-43.534,-52.509,-56.046,-59.256,-61.599
242.0,-41.344,-46.435,-54.424,-56.905,-59.777,-62.296
243.0,-40.366,-45.227,-55.133,-58.282,-61.376,-63.916
244.0,-40.941,-45.625,-55.512,-59.823,-63.610,-66.677
245.0,-42.724,-48.387,-58.981,-63.660,-67.380,-70.901
246.0,-48.749,-53.957,-63.622,-66.819,-69.523,-71.866
247.0,-53.978,-59.553,-67.182,-70.293,-73.674,-73.977
248.0,-60.934,-64.215,-71.633,-76.250,-75.736,-78.062
249.0,-44.512,-48.743,-58.347,-62.655,-63.478,-65.720
250.0,-43.759,-47.964,-58.986,-63.545,-66.688,-69.037
251.0,-41.370,-45.060,-53.896,-56.740,-59.483,-62.131
252.0,-37.178,-42.540,-53.162,-57.594,-61.198,-63.899
253.0,-40.180,-45.222,-55.916,-60.400,-64.002,-66.490
254.0,-36.900,-40.317,-52.535,-57.054,-61.659,-64.382
255.0,-36.751,-39.571,-49.491,-52.988,-56.251,-58.838
256.0,-38.151,-42.430,-53.198,-57.191,-61.162,-64.471
257.0,-34.771,-39.393,-49.058,-52.680,-55.788,-58.599
258.0,-32.557,-36.688,-45.513,-50.021,-54.007,-57.323
259.0,-31.980,-35.987,-46.639,-51.191,-55.184,-57.841
260.0,-34.161,-37.571,-48.683,-52.474,-55.629,-58.164
261.0,-28.809,-32.998,-40.913,-44.679,-48.200,-50.900
262.0,-29.486,-34.763,-42.693,-46.685,-50.269,-53.052
263.0,-32.546,-36.556,-44.673,-47.655,-49.967,-52.126
264.0,-32.963,-36.873,-44.675,-47.476,-50.568,-53.406
265.0,-34.577,-38.809,-48.016,-52.086,-55.524,-58.166
266.0,-34.908,-40.397,-46.698,-50.304,-53.635,-56.450
267.0,-38.824,-42.213,-52.154,-56.186,-59.991,-63.280
268.0,-37.892,-41.305,-52.316,-57.051,-60.843,-64.000
269.0,-38.489,-40.809,-51.931,-55.201,-58.346,-60.060
270.0,-40.642,-43.365,-52.430,-56.174,-59.475,-62.145
271.0,-44.830,-49.184,-59.012,-63.771,-64.955,-68.966
272.0,-43.163,-48.338,-59.544,-64.486,-67.833,-69.562
273.0,-40.529,-46.187,-55.572,-59.485,-62.728,-65.580
274.0,-36.569,-40.845,-49.083,-52.087,-55.064,-58.452
275.0,-31.669,-35.290,-44.538,-48.134,-51.255,-53.943
276.0,-28.346,-32.361,-41.411,-44.675,-48.065,-50.843
277.0,-29.373,-33.830,-40.449,-43.514,-46.551,-49.247
278.0,-30.918,-35.418,-43.103,-46.361,-49.525,-52.819
279.0,-33.226,-36.730,-45.311,-48.860,-51.924,-54.990
280.0,-30.803,-35.468,-42.757,-46.564,-49.596,-52.041
281.0,-28.418,-32.417,-39.960,-43.537,-47.083,-49.395
282.0,-31.197,-35.388,-43.305,-46.163,-48.535,-50.973
283.0,-28.676,-32.524,-41.059,-44.835,-48.551,-51.297
284.0,-28.539,-33.084,-42.085,-45.493,-48.666,-51.375
