t_start_s,zm1_order0_dBFS,zm1_order1_dBFS,zm1_order2_dBFS,zm1_order3_dBFS,spcmic_order0_dBFS,spcmic_order1_dBFS,spcmic_order2_dBFS,spcmic_order3_dBFS,diff_order0_dB,diff_order1_dB,diff_order2_dB,diff_order3_dB
702.0,-21.885,-34.007,-47.540,-57.123,-32.324,-36.891,-38.786,-40.841,10.439,2.885,-8.754,-16.282
703.0,-29.073,-38.113,-50.783,-60.628,-34.774,-38.423,-40.489,-43.305,5.701,0.310,-10.294,-17.324
704.0,-27.240,-35.839,-45.572,-57.439,-34.966,-37.972,-40.342,-43.100,7.726,2.133,-5.230,-14.339
705.0,-22.895,-33.957,-46.566,-59.262,-31.802,-35.607,-38.705,-40.268,8.907,1.650,-7.861,-18.994
706.0,-23.578,-32.322,-44.114,-56.137,-31.174,-35.533,-38.327,-39.557,7.596,3.211,-5.787,-16.580
707.0,-24.751,-33.847,-47.129,-58.203,-33.913,-37.005,-40.410,-42.185,9.162,3.158,-6.718,-16.018
708.0,-29.759,-37.648,-50.194,-59.932,-30.348,-35.937,-37.508,-38.736,0.589,-1.712,-12.685,-21.196
709.0,-29.471,-37.798,-50.540,-62.439,-30.741,-34.996,-35.150,-39.406,1.269,-2.802,-15.390,-23.032
710.0,-28.770,-38.705,-51.827,-62.676,-31.526,-34.544,-34.939,-40.295,2.756,-4.161,-16.888,-22.381
711.0,-31.933,-39.410,-52.526,-63.185,-31.946,-36.285,-37.148,-40.573,0.013,-3.125,-15.378,-22.612
712.0,-29.964,-38.807,-47.323,-53.119,-30.293,-34.859,-37.062,-38.806,0.330,-3.948,-10.262,-14.314
713.0,-29.181,-37.653,-47.898,-59.859,-27.002,-32.375,-34.275,-35.451,-2.178,-5.277,-13.623,-24.408
714.0,-29.198,-37.072,-47.047,-62.127,-29.915,-33.957,-36.485,-38.373,0.717,-3.115,-10.561,-23.755
715.0,-29.891,-38.396,-46.678,-56.821,-29.108,-33.128,-33.692,-37.710,-0.783,-5.269,-12.987,-19.111
716.0,-28.030,-37.244,-45.691,-59.777,-29.151,-33.147,-33.991,-37.819,1.121,-4.096,-11.700,-21.958
717.0,-28.868,-36.494,-49.305,-65.163,-29.513,-33.578,-33.430,-38.190,0.645,-2.916,-15.875,-26.973
718.0,-29.682,-36.466,-49.486,-65.700,-30.944,-35.378,-37.262,-39.521,1.262,-1.088,-12.225,-26.179
719.0,-29.393,-37.703,-50.496,-62.892,-32.002,-36.850,-40.410,-40.440,2.610,-0.853,-10.086,-22.451
720.0,-26.307,-35.604,-49.610,-60.938,-32.621,-37.286,-40.045,-41.116,6.314,1.682,-9.565,-19.821
721.0,-23.408,-34.559,-50.248,-61.064,-32.426,-35.957,-40.012,-40.841,9.018,1.397,-10.236,-20.223
722.0,-25.616,-35.227,-47.298,-56.742,-32.868,-36.854,-40.004,-41.300,7.252,1.627,-7.293,-15.441
723.0,-24.953,-34.090,-46.966,-59.361,-34.801,-39.515,-41.329,-43.292,9.848,5.425,-5.638,-16.068
724.0,-25.799,-35.423,-48.116,-60.430,-38.711,-43.131,-45.439,-47.197,12.912,7.708,-2.677,-13.233
725.0,-26.544,-35.672,-48.248,-60.300,-35.394,-39.824,-41.864,-43.909,8.850,4.152,-6.384,-16.391
726.0,-28.460,-37.629,-50.554,-61.076,-37.086,-41.492,-43.616,-45.577,8.626,3.863,-6.938,-15.500
